103.6452,370
104.8809,373
106.1165,373
107.3518,369
108.587,381
109.8219,372
111.0567,368
112.2912,379
113.5256,369
114.7598,374
115.9938,374
117.2275,373
118.4611,378
119.6945,376
120.9277,378
122.1607,376
123.3935,377
124.6261,384
125.8585,376
127.0907,387
128.3227,380
129.5546,379
130.7862,388
132.0177,392
133.2489,379
134.4799,391
135.7107,394
136.9414,394
138.1718,391
139.4021,396
140.6322,399
141.862,397
143.0917,412
144.3212,413
145.5505,410
146.7796,412
148.0085,428
149.2372,432
150.4657,441
151.694,464
152.9221,479
154.1501,503
155.3778,523
156.6053,518
157.8327,518
159.0598,519
160.2868,484
161.5135,480
162.7401,463
163.9664,446
165.1926,446
166.4186,434
167.6444,431
168.87,428
170.0954,428
171.3206,430
172.5456,421
173.7704,418
174.995,435
176.2194,425
177.4436,424
178.6676,425
179.8915,428
181.1152,431
182.3386,430
183.5619,428
184.7849,424
186.0078,416
187.2305,410
188.453,421
189.6753,428
190.8974,429
192.1193,425
193.341,421
194.5625,427
195.7838,426
197.005,424
198.2259,429
199.4466,426
200.6672,431
201.8875,417
203.1077,430
204.3277,422
205.5474,418
206.767,414
207.9864,422
209.2056,420
210.4246,413
211.6434,414
212.862,418
214.0804,423
215.2987,415
216.5167,423
217.7345,414
218.9522,414
220.1696,417
221.3869,412
222.604,411
223.8209,414
225.0376,413
226.254,410
227.4703,415
228.6864,405
229.9024,419
231.1181,411
232.3336,400
233.549,409
234.7641,410
235.979,402
237.1938,412
238.4084,406
239.6228,410
240.837,410
242.0509,410
243.2647,401
244.4783,409
245.6917,415
246.905,416
248.118,409
249.3308,410
250.5435,410
251.7559,407
252.9681,408
254.1802,412
255.3921,418
256.6038,418
257.8152,418
259.0266,416
260.2377,413
261.4486,417
262.6593,424
263.8698,430
265.0802,429
266.2903,435
267.5003,440
268.7101,452
269.9196,449
271.129,456
272.3382,465
273.5472,483
274.756,479
275.9646,498
277.173,536
278.3813,542
279.5893,590
280.7971,646
282.0048,686
283.2123,717
284.4195,746
285.6266,736
286.8335,683
288.0402,649
289.2467,590
290.453,548
291.6591,514
292.8651,495
294.0709,475
295.2764,463
296.4818,459
297.6869,449
298.8919,436
300.0967,439
301.3013,437
302.5057,428
303.7099,429
304.9139,429
306.1178,427
307.3214,417
308.5249,416
309.7281,422
310.9312,415
312.1341,421
313.3368,413
314.5393,423
315.7416,411
316.9437,406
318.1457,410
319.3474,422
320.5489,413
321.7503,411
322.9514,406
324.1524,423
325.3532,409
326.5538,410
327.7542,406
328.9545,414
330.1544,414
331.3543,416
332.554,416
333.7534,403
334.9527,418
336.1518,421
337.3506,406
338.5493,407
339.7478,419
340.9461,412
342.1443,417
343.3422,422
344.54,414
345.7375,409
346.9349,424
348.132,421
349.3291,421
350.5259,418
351.7225,416
352.9189,426
354.1151,423
355.3112,420
356.507,422
357.7027,416
358.8982,429
360.0934,413
361.2885,415
362.4834,416
363.6781,419
364.8727,421
366.067,422
367.2612,419
368.4551,412
369.6489,431
370.8425,417
372.0359,417
373.2291,421
374.4221,428
375.6149,419
376.8075,415
378,416
379.1922,412
380.3843,426
381.5762,426
382.7679,429
383.9594,434
385.1507,420
386.3418,424
387.5327,430
388.7235,420
389.9141,423
391.1044,422
392.2946,424
393.4846,428
394.6744,425
395.864,428
397.0535,436
398.2427,412
399.4318,417
400.6206,424
401.8093,412
402.9978,416
404.1861,417
405.3742,427
406.5621,429
407.7499,428
408.9374,421
410.1248,427
411.312,424
412.4989,428
413.6857,429
414.8723,428
416.0587,420
417.245,440
418.431,424
419.6169,427
420.8025,434
421.988,431
423.1733,426
424.3584,431
425.5433,424
426.7281,435
427.9126,431
429.097,427
430.2811,430
431.4651,444
432.6489,423
433.8325,438
435.0159,436
436.1991,429
437.3822,426
438.565,446
439.7477,426
440.9302,430
442.1125,435
443.2946,438
444.4765,426
445.6582,438
446.8398,437
448.0211,431
449.2023,439
450.3833,446
451.5641,431
452.7447,432
453.9251,443
455.1053,439
456.2854,447
457.4652,444
458.6449,437
459.8244,444
461.0037,439
462.1828,442
463.3618,445
464.5405,442
465.719,443
466.8974,447
468.0756,450
469.2536,446
470.4314,455
471.609,450
472.7864,453
473.9637,457
475.1407,458
476.3176,468
477.4943,452
478.6708,457
479.8471,474
481.0233,481
482.1992,484
483.375,487
484.5505,484
485.7259,499
486.9011,508
488.0761,519
489.251,520
490.4256,533
491.6001,539
492.7743,533
493.9484,538
495.1223,535
496.296,546
497.4695,541
498.6429,542
499.816,539
500.989,531
502.1618,516
503.3344,527
504.5068,523
505.679,509
506.8511,511
508.0229,521
509.1946,507
510.3661,495
511.5374,497
512.7085,484
513.8794,490
515.0502,499
516.2207,484
517.3911,480
518.5613,495
519.7313,485
520.9011,472
522.0707,476
523.2402,482
524.4094,480
525.5785,458
526.7474,478
527.9161,469
529.0847,479
530.253,470
531.4211,472
532.5891,471
533.7568,469
534.9244,465
536.0919,464
537.2591,469
538.4261,461
539.593,473
540.7596,479
541.9261,456
543.0925,459
544.2586,458
545.4245,468
546.5903,465
547.7559,463
548.9212,467
550.0864,466
551.2514,455
552.4163,462
553.5809,474
554.7454,464
555.9096,452
557.0737,467
558.2376,476
559.4014,463
560.5649,463
561.7282,470
562.8914,474
564.0544,468
565.2172,463
566.3798,466
567.5422,461
568.7045,462
569.8665,472
571.0284,470
572.1901,477
573.3516,461
574.513,471
575.6741,470
576.8351,477
577.9958,469
579.1564,469
580.3168,474
581.4771,489
582.6371,464
583.797,465
584.9567,473
586.1161,472
587.2755,476
588.4346,479
